grupo,candidato,desviacion_publicada_pct,puntuacion_final,parametro,tipo,dura,valor_pedido,valor_candidata,desviacion_parametro_pct,cercania_o_coincidencia,contribucion_a_bruto
SYN-0052,SYN-0054,3.9,1.0,tipo_equipo,categorico,True,aerocondensador_vapor,aerocondensador_vapor,,,
SYN-0052,SYN-0054,3.9,1.0,fluido_lado_tubo,categorico,True,vapor_de_agua,vapor_de_agua,,,
SYN-0052,SYN-0054,3.9,1.0,fluido_lado_exterior,categorico,True,aire,aire,,,
SYN-0052,SYN-0054,3.9,1.0,presion_diseno,numerico,True,3.59,3.45,3.9,0.93,0.0423
SYN-0052,SYN-0054,3.9,1.0,temperatura_diseno,numerico,True,136.7,141.2,3.29,0.8683,0.0395
SYN-0052,SYN-0054,3.9,1.0,material_tubos,categorico,True,G4_inox_austenitico_con_Mo,G4_inox_austenitico_con_Mo,,,
SYN-0052,SYN-0054,3.9,1.0,material_aletas,categorico,True,GA1_aluminio,GA1_aluminio,,,
SYN-0052,SYN-0054,3.9,1.0,codigo_diseno,categorico,True,AD_Merkblaetter_AD2000,AD_Merkblaetter_AD2000,,,
SYN-0052,SYN-0054,3.9,1.0,potencia_termica,numerico,False,3078.7151162790697,2311.0,24.94,0.5013,0.0228
SYN-0052,SYN-0054,3.9,1.0,caudal_lado_tubo,numerico,False,12509.0,6503.0,48.01,0.0397,0.0018
SYN-0052,SYN-0054,3.9,1.0,temperatura_entrada_lado_tubo,numerico,False,73.0,83.9,14.93,0.4027,0.0183
SYN-0052,SYN-0054,3.9,1.0,presion_operacion_lado_tubo,numerico,False,2.76,1.91,30.8,0.0,0.0
SYN-0052,SYN-0054,3.9,1.0,superficie_aletada,numerico,False,670.5,472.3,29.56,0.4088,0.0186
SYN-0052,SYN-0054,3.9,1.0,longitud_tubo,numerico,False,6205.0,6563.0,5.77,0.8077,0.0367
SYN-0052,SYN-0054,3.9,1.0,ancho_haz,numerico,False,2229.0,2371.0,6.37,0.7876,0.0358
SYN-0052,SYN-0054,3.9,1.0,numero_filas_tubos,numerico,False,6.0,5.0,16.67,0.5,0.0227
SYN-0052,SYN-0054,3.9,1.0,diametro_exterior_tubo,categorico,False,25.4,25.4,,1.0,0.0714
SYN-0052,SYN-0054,3.9,1.0,espesor_tubo,categorico,False,2.41,2.41,,1.0,0.0714
SYN-0052,SYN-0054,3.9,1.0,separacion_aletas,categorico,False,3.2,2.5,,0.0,0.0
SYN-0052,SYN-0054,3.9,1.0,diametro_aleta,categorico,False,55x26_rectangular,45,,0.0,0.0
SYN-0052,SYN-0054,3.9,1.0,conexiones_rating,categorico,False,PN25,PN16,,1.0,0.0714
SYN-0052,SYN-0054,3.9,1.0,union_tubo_placa,categorico,False,soldada,soldada,,1.0,0.0714
SYN-0052,SYN-0054,3.9,1.0,normativa_marcado,categorico,False,PED_2014_68_UE,PED_97_23_CE,,1.0,0.0714
SYN-0052,SYN-0054,3.9,1.0,temperatura_entrada_aire,numerico,False,40.0,25.3,36.75,0.0,0.0
SYN-0052,SYN-0092,44.29,0.6458497315185373,tipo_equipo,categorico,True,aerocondensador_vapor,aerocondensador_vapor,,,
SYN-0052,SYN-0092,44.29,0.6458497315185373,fluido_lado_tubo,categorico,True,vapor_de_agua,vapor_de_agua,,,
SYN-0052,SYN-0092,44.29,0.6458497315185373,fluido_lado_exterior,categorico,True,aire,aire,,,
SYN-0052,SYN-0092,44.29,0.6458497315185373,presion_diseno,numerico,True,3.59,2.0,44.29,0.205,0.0093
SYN-0052,SYN-0092,44.29,0.6458497315185373,temperatura_diseno,numerico,True,136.7,108.8,20.41,0.1836,0.0083
SYN-0052,SYN-0092,44.29,0.6458497315185373,material_tubos,categorico,True,G4_inox_austenitico_con_Mo,G4_inox_austenitico_con_Mo,,,
SYN-0052,SYN-0092,44.29,0.6458497315185373,material_aletas,categorico,True,GA1_aluminio,GA1_aluminio,,,
SYN-0052,SYN-0092,44.29,0.6458497315185373,codigo_diseno,categorico,True,AD_Merkblaetter_AD2000,AD_Merkblaetter_AD2000,,,
SYN-0052,SYN-0092,44.29,0.6458497315185373,potencia_termica,numerico,False,3078.7151162790697,402.9,86.91,0.0,0.0
SYN-0052,SYN-0092,44.29,0.6458497315185373,caudal_lado_tubo,numerico,False,12509.0,895.0,92.85,0.0,0.0
SYN-0052,SYN-0092,44.29,0.6458497315185373,temperatura_entrada_lado_tubo,numerico,False,73.0,77.1,5.62,0.7753,0.0352
SYN-0052,SYN-0092,44.29,0.6458497315185373,presion_operacion_lado_tubo,numerico,False,2.76,1.3,52.9,0.0,0.0
SYN-0052,SYN-0092,44.29,0.6458497315185373,superficie_aletada,numerico,False,670.5,93.2,86.1,0.0,0.0
SYN-0052,SYN-0092,44.29,0.6458497315185373,longitud_tubo,numerico,False,6205.0,1969.0,68.27,0.0,0.0
SYN-0052,SYN-0092,44.29,0.6458497315185373,ancho_haz,numerico,False,2229.0,1022.0,54.15,0.0,0.0
SYN-0052,SYN-0092,44.29,0.6458497315185373,numero_filas_tubos,numerico,False,6.0,3.0,50.0,0.0,0.0
SYN-0052,SYN-0092,44.29,0.6458497315185373,diametro_exterior_tubo,categorico,False,25.4,25.4,,1.0,0.0714
SYN-0052,SYN-0092,44.29,0.6458497315185373,espesor_tubo,categorico,False,2.41,2.41,,1.0,0.0714
SYN-0052,SYN-0092,44.29,0.6458497315185373,separacion_aletas,categorico,False,3.2,2.3,,0.0,0.0
SYN-0052,SYN-0092,44.29,0.6458497315185373,diametro_aleta,categorico,False,55x26_rectangular,55x26_rectangular,,1.0,0.0714
SYN-0052,SYN-0092,44.29,0.6458497315185373,conexiones_rating,categorico,False,PN25,PN25,,1.0,0.0714
SYN-0052,SYN-0092,44.29,0.6458497315185373,union_tubo_placa,categorico,False,soldada,soldada,,1.0,0.0714
